Hospital Name,Address 1,City,State,ZIP Code,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
"MEMORIAL HOSPITAL, THE",750 HOSPITAL LOOP,CRAIG,CO,81625,Not Available,16.9,14.9
YUMA DISTRICT HOSPITAL - CAH,1000 WEST 8TH AVENUE,YUMA,CO,80759,Not Available,15.1,19.2
SPANISH PEAKS REGIONAL HEALTH CENTER,23500 US HWY 160,WALSENBURG,CO,81089,Not Available,14.9,18.8
GRAND RIVER MEDICAL CENTER,501 AIRPORT ROAD,RIFLE,CO,81650,Not Available,Not Available,14.9
ST VINCENT HOSPITAL GENERAL DISTRICT,822 W 4TH STREET,LEADVILLE,CO,80461,Not Available,Not Available,Not Available
GUNNISON VALLEY HOSPITAL,711 N TAYLOR STREET,GUNNISON,CO,81230,Not Available,Not Available,16.4
MT SAN RAFAEL HOSPITAL,410 BENEDICTA AVENUE,TRINIDAD,CO,81082,Not Available,16.2,16.1
HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,1000 RUSH DRIVE,SALIDA,CO,81201,Not Available,17.3,17.1
PROWERS MEDICAL CENTER,401 KENDALL DRIVE,LAMAR,CO,81052,Not Available,18.2,17.6
ASPEN VALLEY HOSPITAL,0401 CASTLE CREEK ROAD,ASPEN,CO,81611,Not Available,Not Available,15.6
PIONEERS MEDICAL CENTER,345 CLEVELAND STREET,MEEKER,CO,81641,Not Available,Not Available,Not Available
PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,WOODLAND PARK,CO,80863,Not Available,Not Available,Not Available
SOUTHWEST MEMORIAL HOSPITAL,1311 N MILDRED RD,CORTEZ,CO,81321,Not Available,15.1,17.5
PAGOSA MOUNTAIN HOSPITAL,95 SOUTH PAGOSA BOULEVARD,PAGOSA SPRINGS,CO,81147,Not Available,Not Available,Not Available
CHILDRENS HOSPITAL COLORADO,13123 EAST 16TH AVENUE,AURORA,CO,80045,Not Available,Not Available,Not Available
HOSPITAL OF ST RAPHAEL,1450 CHAPEL ST,NEW HAVEN,CT,6511,17.9,10.1,11.7
ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,HARTFORD,CT,6105,16.3,10.5,14.1
DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,CT,6260,18.4,16.8,17.3
SHARON HOSPITAL,"50 HOSPITAL HILL ROAD, PO BOX 789",SHARON,CT,6069,20.2,16.7,14.7
WATERBURY HOSPITAL,64 ROBBINS ST,WATERBURY,CT,6721,13,14,14.4
STAMFORD HOSPITAL,30 SHELBURNE ROAD,STAMFORD,CT,6904,16.2,15.3,11.4
LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,CT,6320,17.7,15.6,15.5
JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL RD,STAFFORD SPRINGS,CT,6076,21.4,14.7,14
BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,CT,6610,16.2,12.6,13.5
CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,6790,20.3,14.5,12.9
ROCKVILLE GENERAL HOSPITAL,31 UNION ST,ROCKVILLE,CT,6066,19.4,13.4,13.1
NEW MILFORD HOSPITAL,21 ELM ST,NEW MILFORD,CT,6776,20.6,19.5,16
SAINT MARYS HOSPITAL,56 FRANKLIN ST,WATERBURY,CT,6706,15.9,13.6,11
MIDSTATE MEDICAL CENTER,435 LEWIS AVE,MERIDEN,CT,6450,19,14.5,13.6
GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,GREENWICH,CT,6830,19.7,15.5,14.7
"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,MILFORD,CT,6460,21.2,13.8,19
MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,6457,15.8,11.5,12.5
WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVE,WILLIMANTIC,CT,6226,19.7,15.7,14.7
YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,6504,14.3,9.3,11.2
WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,CT,6360,19.2,14.4,12.4
HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,6102,16.8,14.7,12.5
MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,6040,18.6,19.1,13.2
ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,6606,16,13.3,14.2
BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,19.1,14.7,15
GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,CT,6418,18.1,12.3,13.1
DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,6810,16.8,11.5,11.7
NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NORWALK,CT,6856,15.4,11.9,13
"HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,NEW BRITAIN,CT,6050,17,12.9,11.5
JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,CT,6032,17.7,12.6,14.7
MASONIC HOME AND HOSPITAL,22 MASONIC AVE,WALLINGFORD,CT,6492,Not Available,13.7,14.2
HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,6117,Not Available,16.2,15
CONNECTICUT CHILDRENS MEDICAL CENTER,282 WASHINGTON STREET,HARTFORD,CT,6106,Not Available,Not Available,Not Available
"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,16.6,12.7,14.6
ST FRANCIS HEALTHCARE,7TH AND CLAYTON STS,WILMINGTON,DE,19805,19.3,12.8,15
BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,15.5,11.4,13.2
NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,19973,19.1,12.5,15.6
BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,17.4,14.2,13.3
BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,DE,19963,Not Available,Not Available,Not Available
GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,19.3,15.1,17.1
HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,WASHINGTON,DC,20060,20.8,12.3,14.9
GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DC,20007,Not Available,16.4,20.1
SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,17.9,13.4,14.3
PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DC,20017,17.5,11.1,13.9
UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,WASHINGTON,DC,20032,Not Available,13.2,17.5
WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,18,11.1,12.4
CHILDREN'S HOSPITAL NMC,"111 MICHIGAN AVE, NW",WASHINGTON,DC,20010,Not Available,Not Available,Not Available
SHANDS JACKSONVILLE MEDICAL CENTER,655 W 8TH ST,JACKSONVILLE,FL,32209,20.5,13,15.6
BETHESDA MEMORIAL HOSPITAL,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,17.4,12.5,13.3
ORLANDO HEALTH,1414 S KUHL AVE,ORLANDO,FL,32806,17.5,11.3,12.3
FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,32803,15.7,11.7,11.9
BAPTIST HOSPITAL OF MIAMI INC,8900 N KENDALL DR,MIAMI,FL,33176,16.1,12.2,12.5
UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,MIAMI,FL,33136,19.9,11.8,13.6
LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,17.6,12.8,13.9
BERT FISH MEDICAL CENTER,401 PALMETTO ST,NEW SMYRNA BEACH,FL,32170,20.8,14,15.7
HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,19.2,14.5,17.2
NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,FL,34102,15.6,12.3,12.6
HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,32901,15.7,14.1,14.4
JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,33136,18.3,13,17.4
CITRUS MEMORIAL HOSPITAL,502 HIGHLAND BLVD,INVERNESS,FL,34452,20.3,16,18
SACRED HEART HOSPITAL,5151 N 9TH AVE,PENSACOLA,FL,32504,17.2,15.1,15
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,615 N BONITA AVE,PANAMA CITY,FL,32401,16.1,11,12.5
PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,32796,17.9,14.4,11.6
NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,FL,33150,18.6,13.5,12.8
HEALTH CENTRAL,10000 W COLONIAL DR,OCOEE,FL,34761,23.5,15.4,14.8
BAYFRONT MEDICAL CENTER INC,701 6TH ST S,SAINT PETERSBURG,FL,33701,19.3,14.8,14.5
MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,MIAMI BEACH,FL,33140,14.4,10.7,10
MANATEE MEMORIAL HOSPITAL,206 2ND ST E,BRADENTON,FL,34208,21.7,18.3,15.9
MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,33021,17,15.1,18.3
BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,FL,33316,21.4,11.6,16.6
ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,19.6,12.2,12.5
MEASE HOSPITAL DUNEDIN,601 MAIN STREET,DUNEDIN,FL,34698,17.9,14.1,13.3
MARTIN MEMORIAL MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,34995,15.8,13.6,12.9
FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,DELAND,FL,32720,19.8,15.2,19.3
FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,ZEPHYRHILLS,FL,33541,20,13.1,15.1
CHARLOTTE REGIONAL MEDICAL CENTER,809 E MARION AVE,PUNTA GORDA,FL,33950,19.2,12.7,13.9
JAY HOSPITAL,14114 ALABAMA ST,JAY,FL,32565,Not Available,16.5,16.8
HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,SEBRING,FL,33870,19.5,11.6,18.8
PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,HIALEAH,FL,33012,15.8,14.6,16
SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,CLERMONT,FL,34711,20.6,13.6,15.1
WINTER HAVEN HOSPITAL,200 AVE F NE,WINTER HAVEN,FL,33881,20.5,15,15.5
HIALEAH HOSPITAL,651 E 25TH ST,HIALEAH,FL,33013,18.4,13.1,12.8
TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,19.9,14.9,17.2
FLORIDA HOSPITAL NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,FL,34689,20.3,14.9,15.7
FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,17.4,15.7,16.6
MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,FL,34474,16.2,15.9,13
MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NEW PORT RICHEY,FL,34652,18.8,14.7,17.2
ST ANTHONY'S HOSPITAL,1200 7TH AVENUE NORTH,SAINT PETERSBURG,FL,33705,18.8,16.1,17.3
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,32117,18.1,14.9,14.9
FLORIDA HOSPITAL CARROLLWOOD,7171 NORTH DALE MABRY,TAMPA,FL,33614,Not Available,16.8,16.6
VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,16.7,14.5,15.1
BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,19.9,15.3,17.3
FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,19.5,11.8,12.2
HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,18.4,14.1,16.6
ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,15.9,13.2,14.2
METROPOLITAN HOSPITAL OF MIAMI,5959 NW 7TH ST,MIAMI,FL,33126,19.3,12.2,14
PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,PORT CHARLOTTE,FL,33952,19.4,12.9,16.4
JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,33462,18,13.4,13.3
HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,DEFUNIAK SPRINGS,FL,32435,Not Available,16.2,17.3
LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,34748,17.7,14.4,14.6
BROWARD HEALTH NORTH,201 E SAMPLE RD,POMPANO BEACH,FL,33064,21.8,15.5,15
SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,15.9,14.4,12.5
BAPTIST MEDICAL CENTER,800 PRUDENTIAL DR,JACKSONVILLE,FL,32207,17.1,13.1,13.2
FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,15.8,10.9,10.8
WUESTHOFF MEDICAL CENTER  ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,32955,18,15.7,13.3
BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,32501,19.9,13.6,17
LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,33853,22.3,14.2,17.7
BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES                     ,FL,33708,20.6,14.6,13.3
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,17.6,13.9,15.6
INDIAN RIVER MEDICAL CENTER,1000 36TH ST,VERO BEACH,FL,32960,16.8,15.2,14.8
DOCTOR'S MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,PERRY,FL,32348,18.3,16.8,18.1
LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,33936,20.2,16,14.9
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N' LAKE BLVD,SEBRING,FL,33871,17.5,10.5,12.3
OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,KISSIMMEE,FL,34741,23.1,14.1,17.1
SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,1600 SW ARCHER RD,GAINESVILLE,FL,32610,16.3,12.6,12.7
BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,32250,18.9,15.7,14.7
FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,19.4,14.6,16.4
BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,BARTOW,FL,33831,20.7,15.1,15.7
NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,23.1,15,16.2
SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,MILTON,FL,32570,19.1,15.2,17.8
HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,33033,20.2,15.4,13.9
PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE SOUTH,SAINT PETERSBURG,FL,33707,19.5,14.9,14.7
MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,33756,15.6,13.3,14
TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,TAMPA,FL,33606,17.7,13.4,14.8
LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,Not Available,15.1,15.9
AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,AVENTURA,FL,33180,16.4,11.4,11
SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,PLANT CITY,FL,33563,17.2,15.6,14.5
TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,17.7,13.9,13.9
HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,18.1,12.4,13.6
TRI COUNTY HOSPITAL - WILLISTON,125 SW 7TH ST,WILLISTON,FL,32696,Not Available,15.4,17.2
BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,FL,32034,Not Available,16.7,15.8
JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,18.7,12.8,14
LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,33040,21.7,15.5,16.7
MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,18.1,14.4,15.4
"SOUTH MIAMI HOSPITAL, INC",6200 SW 73RD ST,SOUTH MIAMI,FL,33143,17.8,11.1,15.9
LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,LAKE CITY,FL,32055,17.5,11,14.2
LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,16.2,12.7,13
CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,21.9,11.8,16.7
DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,SARASOTA,FL,34233,21.6,13.6,18.8
PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,33317,Not Available,15.4,15.7
BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,BOCA RATON,FL,33486,14.9,12.2,12.4
FLORIDA HOSPITAL TAMPA,3100 E FLETCHER AVE,TAMPA,FL,33613,18.4,14.3,14.3
DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,ARCADIA,FL,34265,20.5,13.8,17.4
PALM BEACH GARDENS MEDICAL CENTER,3360 BURNS RD,PALM BEACH GARDENS,FL,33410,15.6,12.3,12.1
CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,FL,32932,20.4,15.3,15.9
MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,19.5,10.7,14.4
ST PETERSBURG GENERAL HOSPITAL,6500 38TH AVE N,SAINT PETERSBURG,FL,33710,21,14.1,14.3
LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,FL,33143,20.1,15.3,13.3
CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,18.8,12.6,12.4
PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,HIALEAH,FL,33016,22.6,14.4,16.5
NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,MARGATE,FL,33063,18.7,12.9,12.8
MEDICAL CENTER OF TRINITY,9330 SR 54,TRINITY,FL,34655,20,15.1,18.4
BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,21,14.1,19.3
NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605,18,11.8,13.2
MEMORIAL HOSPITAL OF TAMPA,2901 SWANN AVE,TAMPA,FL,33609,21.8,12.2,14.9
KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,17.3,14.9,13
PASCO REGIONAL MEDICAL CENTER,13100 FT KING ROAD,DADE CITY,FL,33525,22.6,17.1,17.6
OCALA REGIONAL MEDICAL CENTER,1431 SW 1ST AVE,OCALA,FL,34478,17.7,14.3,13.5
BLAKE MEDICAL CENTER,2020 59TH ST W,BRADENTON,FL,34209,18.1,15.3,13.7
SEBASTIAN RIVER MEDICAL CENTER,13695 US HWY 1,SEBASTIAN,FL,32978,18.1,13.8,15
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,13681 DOCTOR'S WAY,FORT MYERS,FL,33912,21.2,13.5,14.2
FORT WALTON BEACH MEDICAL CENTER,1000 MAR-WALT DR,FORT WALTON BEACH,FL,32547,21.8,15.1,14.5
UNIVERSITY HOSPITAL AND MEDICAL CENTER,7201 N UNIVERSITY DR,TAMARAC,FL,33321,19.4,14.9,15.3
ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,ORANGE PARK,FL,32073,21.6,16.1,19
WESTSIDE REGIONAL MEDICAL CENTER,8201 W BROWARD BLVD,PLANTATION,FL,33324,18.8,15.5,18.4
MEMORIAL HOSPITAL PEMBROKE,7800 SHERIDAN ST,PEMBROKE PINES,FL,33024,19.1,13.5,16.1
WEST FLORIDA HOSPITAL,8383 N DAVIS HWY,PENSACOLA,FL,32514,20.2,16.2,13.3
PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,PALATKA,FL,32177,20.8,17.4,17.8
COLUMBIA HOSPITAL,2201 45TH ST,WEST PALM BEACH,FL,33407,21,16.6,18.8
FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,PORT CHARLOTTE,FL,33952,16.4,12.1,14.2
NORTHSIDE HOSPITAL,6000 49TH STREET N,SAINT PETERSBURG,FL,33709,21.9,12.9,15.4
EDWARD WHITE HOSPITAL,2323 9TH AVE N,SAINT PETERSBURG,FL,33713,19.1,14,14.6
ANNE BATES LEACH EYE HOSPITAL,900 NW 17TH ST,MIAMI,FL,33136,Not Available,Not Available,Not Available
GULF COAST MEDICAL CENTER,449 W 23RD ST,PANAMA CITY,FL,32405,21.8,13,14.1
BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,BRANDON,FL,33511,19.4,11.9,13.5
CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,20.3,14,15.6
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,FORT PIERCE,FL,34950,18.8,14.8,12.1
LARGO MEDICAL CENTER,201 14TH ST SW,LARGO,FL,33770,21.3,13.1,15
SEVEN RIVERS REGIONAL MEDICAL CENTER,6201 N SUNCOAST BLVD,CRYSTAL RIVER,FL,34428,20.1,17.4,22.6
RAULERSON HOSPITAL,1796 HWY 441 NORTH,OKEECHOBEE,FL,34972,16,11.9,16.4
JUPITER MEDICAL CENTER,1210 S OLD DIXIE HWY,JUPITER,FL,33458,17.7,13.7,11
CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD,TALLAHASSEE,FL,32308,22.9,14.7,12
TOWN & COUNTRY HOSPITAL,6001 WEBB RD,TAMPA,FL,33615,18.8,12.8,14.1
REGIONAL MEDICAL CENTER BAYONET POINT,14000 FIVAY ROAD,HUDSON,FL,34667,17.8,13.5,17.1
DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,33484,15.7,14.1,10.7
SOUTH BAY HOSPITAL,4016 SUN CITY CENTER BLVD,SUN CITY CENTER,FL,33573,17.6,13.3,14.5
ST LUCIE MEDICAL CENTER,1800 SE TIFFANY AVE,PORT SAINT LUCIE,FL,34952,18.8,16.4,15.6
OAK HILL HOSPITAL,11375 CORTEZ BLVD,BROOKSVILLE,FL,34613,20.5,13.3,16
MEASE COUNTRYSIDE HOSPITAL,3231 MCMULLEN BOOTH RD,SAFETY HARBOR,FL,34695,16.7,13.8,12.4
GULF BREEZE HOSPITAL,1110 GULF BREEZE PKWY,GULF BREEZE,FL,32561,20.5,12.8,14.7
ENGLEWOOD COMMUNITY HOSPITAL,700 MEDICAL BLVD,ENGLEWOOD,FL,34223,17,12.9,16.1
WEST BOCA MEDICAL CENTER,21644 STATE RD 7,BOCA RATON,FL,33428,18.1,15.2,14.1
PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,LOXAHATCHEE,FL,33470,16.9,15.2,16.7
WELLINGTON REGIONAL MEDICAL CENTER,10101 FOREST HILL BLVD,WELLINGTON,FL,33414,20.6,17.6,15.6
BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,CORAL SPRINGS,FL,33065,18.5,13.9,15.9
DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137,Not Available,Not Available,16.1
MEMORIAL HOSPITAL WEST,703 N FLAMINGO RD,PEMBROKE PINES,FL,33028,17,13.7,13.7
WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,MIAMI,FL,33155,19.6,14.2,12.9
MEMORIAL HOSPITAL MIRAMAR,1901 SW 172ND AVE,MIRAMAR,FL,33029,20.9,15.1,14.2
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,NAPLES,FL,34119,22.1,16.1,13.3
GOOD SAMARITAN MEDICAL CENTER,1309 N FLAGLER DR,WEST PALM BEACH,FL,33401,16.8,12.9,14.1
ST MARY'S MEDICAL CENTER,901 45TH ST,WEST PALM BEACH,FL,33407,23.1,14.9,17.2
CLEVELAND CLINIC HOSPITAL,3100 WESTON RD,WESTON,FL,33331,18.2,11.6,12
"VILLAGES REGIONAL HOSPITAL, THE",1451 EL CAMINO REAL,THE VILLAGES,FL,32159,19.6,13.9,15.3
WUESTHOFF MEDICAL CENTER - MELBOURNE,250 NORTH WICKHAM ROAD,MELBOURNE,FL,32935,19.1,13.4,15.1
SACRED HEART HOSPITAL ON THE EMERALD COAST,7800 US HWY 98 W,MIRAMAR BEACH,FL,32550,19.7,15.7,15.9
DOCTORS HOSPITAL INC,5000 UNIVERSITY DR,CORAL GABLES,FL,33146,17.4,11.8,11.9
LAKEWOOD RANCH MEDICAL CENTER,8330 LAKEWOOD RANCH BOULEVARD,BRADENTON,FL,34202,20.6,14.2,14.6
ST CLOUD REGIONAL MEDICAL CENTER,2906 17TH STREET,SAINT CLOUD,FL,34769,18,14,16.3
ST VINCENT'S MEDICAL CENTER SOUTHSIDE,4201 BELFORT RD,JACKSONVILLE,FL,32216,19.8,11.9,14.9
SACRED HEART HOSPITAL ON THE GULF,3801 E HWY 98,PORT SAINT JOE,FL,32456,Not Available,Not Available,Not Available
WEST KENDALL BAPTIST HOSPITAL,9555 SW 162 AVE,MIAMI,FL,33196,Not Available,Not Available,Not Available
VIERA HOSPITAL,8745 N WICKHAM RD,VIERA,FL,32940,Not Available,Not Available,Not Available
PALM BAY HOSPITAL,"1425 MALABAR RD, NE",PALM BAY,FL,32907,Not Available,Not Available,Not Available
TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA                         ,FL,33612,17.1,13.6,13.4
MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI                         ,FL,33125,20.6,12.9,15.9
W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH               ,FL,33410,20.1,12.2,12
